Job Title,Rating,Location,Headquarters,Size,company_txt,Industry,Lower Salary,Upper Salary,Avg Salary(K),job_title_sim,seniority_by_title,Python,spark,aws,sql,keras,pytorch,scikit,tensor,hadoop,flink,mongo,lat,lng
Machine Learning Engineer,3.2,"New York, NY","New York, NY",7,Information Builders,Computer Hardware & Software,91,159,125.0,machine learning engineer,na,1,0,1,1,0,1,0,1,0,0,0,40.6943,-73.9249
"Sr Expert Data Science, Advanced Visual Analytics (Associate level)",3.8,"Cambridge, MA","Basel, Switzerland",9,Novartis,Biotech & Pharmaceuticals,80,133,106.5,data scientist,sr,1,0,0,1,0,0,0,0,0,0,0,42.3759,-71.1185
MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,3.6,"Millville, DE","Lewes, DE",7,Beebe Healthcare,Health Care Services & Hospitals,43,70,56.5,other scientist,na,0,0,0,0,0,0,0,0,0,0,0,38.5356,-75.1284
"Scientist, Molecular/Cellular Biologist",2.9,"South San Francisco, CA","San Francisco, CA",5,Audentes Therapeutics,Biotech & Pharmaceuticals,49,97,73.0,other scientist,na,0,0,0,0,0,0,0,0,0,0,0,37.6538,-122.4196
Staff Scientist-Downstream Process Development,2.7,"Rockville, MD","Rockville, MD",5,Advanced BioScience Laboratories,Biotech & Pharmaceuticals,49,113,81.0,other scientist,na,0,0,0,0,0,0,0,0,0,0,0,39.0834,-77.1553
Data Scientist,3.2,"Philadelphia, PA","Chadds Ford, PA",3,"Numeric, LLC",Staffing & Outsourcing,96,161,128.5,data scientist,na,1,1,1,1,0,0,0,0,1,0,0,40.0077,-75.1339
Scientist - Analytical Services,3.1,"Winston-Salem, NC","Winston-Salem, NC",8,Reynolds American,Consumer Products Manufacturing,65,134,99.5,other scientist,na,0,0,0,0,0,0,0,0,0,0,0,36.1029,-80.261
"Associate Scientist / Sr. Associate Scientist, Antibody Discovery",4.0,"South San Francisco, CA","Sunnyvale, CA",6,23andMe,Biotech & Pharmaceuticals,59,125,92.0,other scientist,sr,0,0,1,0,0,0,0,0,0,0,0,37.6538,-122.4196
Associate Data Analyst- Graduate Development Program,3.3,"Richfield, OH","Richfield, OH",6,National Interstate,Insurance Carriers,32,59,45.5,analyst,na,0,0,0,0,0,0,0,0,0,0,0,41.2354,-81.6421
Sr. Data Engineer,4.5,"Indianapolis, IN","Indianapolis, IN",4,Moser Consulting,Consulting,87,158,122.5,data engineer,sr,1,1,1,1,0,0,0,0,1,0,1,39.7771,-86.1458
Clinical Data Analyst,3.0,"Tampa, FL","Tampa, FL",7,Greenway Health,Enterprise Software & Network Solutions,27,48,37.5,analyst,na,0,0,0,1,0,0,0,0,0,0,0,27.9945,-82.4447
IT Associate Data Analyst,3.7,"Worcester, MA","Worcester, MA",8,The Hanover Insurance Group,Insurance Carriers,39,69,54.0,analyst,na,0,0,0,1,0,0,0,0,0,0,0,42.2705,-71.8079
Business Data Analyst,3.8,"New York, NY","New York, NY",7,Fareportal,Travel Agencies,36,71,53.5,analyst,na,1,0,0,1,0,0,0,0,0,0,0,40.6943,-73.9249
